final_x, final_y, final_z, guessed_x, guessed_y, guessed_z
-0.055757, -0.124410, -0.241691, -0.201304, -0.113439, -0.188786
-0.055942, -0.123927, -0.241197, -0.212829, -0.118611, -0.202955
-0.053881, -0.123525, -0.241511, -0.215820, -0.121596, -0.215170
-0.053064, -0.123546, -0.241075, -0.217757, -0.123563, -0.217824
-0.051964, -0.123144, -0.240788, -0.219414, -0.125688, -0.224950
-0.051593, -0.122836, -0.240205, -0.219644, -0.122311, -0.217082
-0.051048, -0.122751, -0.239967, -0.216560, -0.122438, -0.215819
-0.050906, -0.122560, -0.239916, -0.213680, -0.122714, -0.217517
-0.050421, -0.122468, -0.241312, -0.217226, -0.123324, -0.218351
-0.050023, -0.122105, -0.241866, -0.214546, -0.123131, -0.217079
-0.049557, -0.120792, -0.242393, -0.213226, -0.119276, -0.212771
-0.048948, -0.120115, -0.242529, -0.204410, -0.117188, -0.204284
-0.048488, -0.119560, -0.241561, -0.205744, -0.117696, -0.204759
-0.048146, -0.118316, -0.241660, -0.207985, -0.116118, -0.206121
